"feature","id","fc","pval","qval"
"gene","AT1G27580",0.636675633795563,0.34104951212614,0.488739651915891
"gene","AT4G37095",1.15788109891769,0.827488919677657,0.884722704743191
"gene","ATCG00100",1.85432555120407,0.00845656710132614,0.0574187429579087
"gene","ATCG00930",1.42826010660264,0.241243701932786,0.390260635044092
"gene","ATCG00940",1.49390870663758,0.112804836129647,0.233227794239646
"gene","ATCG01190",1.59044404040319,0.0577483416696118,0.152891854774888
"gene","ATCG01200",1.50503061657273,0.210197749821391,0.356181471670997
"gene","MSTRG.10",1.13274892405874,0.147906121658173,0.279984427693974
"gene","MSTRG.1000",0.923826519872469,0.121925768451617,0.246136351560996
"gene","MSTRG.10005",0.872368746099066,0.0057591205365648,0.0480199096508514
"gene","MSTRG.10007",0.828787732410992,0.00105502113630829,0.0259641844267639
"gene","MSTRG.10008",0.919972137085449,0.110797180858074,0.230768219342954
"gene","MSTRG.1002",0.85198861964246,0.036769288491812,0.118457580174236
"gene","MSTRG.10020",1.02308000605406,0.533191360575089,0.656116547366478
"gene","MSTRG.10021",1.09763739342679,0.00834506910643096,0.0571869397472612
"gene","MSTRG.10022",1.2574443391667,0.333261460095462,0.479888184692721
"gene","MSTRG.10027",0.965933764859902,0.401750338954578,0.545346885833007
"gene","MSTRG.10028",1.0719786121718,0.443203889262071,0.581246808984135
"gene","MSTRG.10029",0.912121127888689,0.0608299076535589,0.157786793674497
"gene","MSTRG.1003",0.944981562214778,0.386849538346461,0.532113257245323
"gene","MSTRG.10031",0.831353513019339,0.000139492130602159,0.0194400136326935
"gene","MSTRG.10035",1.02783993794363,0.50304189997377,0.63086859701369
"gene","MSTRG.10036",0.936462552432464,0.126519363020899,0.251893252836878
"gene","MSTRG.1004",0.969941762879359,0.269159967800582,0.418934889028974
"gene","MSTRG.10043",1.34659321391172,0.0481186421175488,0.137536596777916
"gene","MSTRG.10051",0.973079256758935,0.520761001275944,0.645576967757431
"gene","MSTRG.10054",0.80725734871002,0.0802985390731015,0.1878500826566
"gene","MSTRG.10062",1.08197827461509,0.0202375195540268,0.0867309704007045
"gene","MSTRG.10064",1.04485286340072,0.327322208055927,0.474756487727076
"gene","MSTRG.10065",0.934048270859278,0.235512367589866,0.384087992789502
"gene","MSTRG.10066",0.884955623967945,0.226601031828738,0.375027733424741
"gene","MSTRG.10067",0.93076890094762,0.0366341312931184,0.118301692574698
"gene","MSTRG.10069",1.18080955130984,0.0775120719911024,0.183535878695153
"gene","MSTRG.1007",0.977635993524521,0.36495206964404,0.512119855653235
"gene","MSTRG.10071",1.13260602760558,0.107646345817151,0.226070591323327
